generation,individual_index,fitness,tau,lr,layers,activations
4,6,2.9091666,0.01,0.005,[64],"[<built-in method sigmoid of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>]"
4,7,2.8736665,0.01,0.002,[4],"[<function relu at 0x1070f04a0>, <built-in method sigmoid of type object at 0x1056829d0>]"
4,8,2.9796667,0.02,0.002,"[2, 2]","[<function softmax at 0x1070f0cc0>, <function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>]"
4,9,2.8186667,0.02,0.01,"[16, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>]"
4,10,2.9015,0.01,0.002,[64],"[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>]"
4,11,2.9121666,0.01,0.005,"[64, 2]","[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
5,0,2.9051664,0.001,0.008,"[64, 2]","[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
5,1,3.1223335,0.001,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
5,2,2.8955,0.02,0.002,"[2, 16]","[<function relu at 0x1070f04a0>, <function relu at 0x1070f04a0>, <function leaky_relu at 0x1070f0900>]"
5,3,2.8516665,0.02,0.002,"[2, 32, 64, 8]","[<built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>, <function softmax at 0x1070f0cc0>, <function leaky_relu at 0x1070f0900>]"
5,4,3.382,0.02,0.008,"[64, 8, 16]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
5,5,2.9326665,0.01,0.005,[64],"[<built-in method sigmoid of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>]"
5,6,2.9023333,0.001,0.005,"[64, 2]","[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
5,7,3.196,0.01,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
5,8,2.8,0.02,0.002,"[2, 32, 64, 16]","[<function softmax at 0x1070f0cc0>, <function relu at 0x1070f04a0>, <function softmax at 0x1070f0cc0>, <built-in method tanh of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
5,9,2.8156664,0.02,0.002,[2],"[<function relu at 0x1070f04a0>, <function leaky_relu at 0x1070f0900>]"
5,10,2.8875,0.005,0.005,[64],"[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>]"
5,11,2.834,0.01,0.005,"[64, 8, 16]","[<built-in method sigmoid of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
6,0,3.1066666,0.01,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
6,1,2.8918335,0.01,0.005,[64],"[<built-in method sigmoid of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>]"
6,2,2.8965,0.001,0.008,"[64, 2]","[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
6,3,2.9145,0.001,0.005,"[64, 2]","[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
6,4,2.9501665,0.001,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
6,5,3.1038332,0.02,0.008,"[64, 8, 16]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
6,6,2.9931664,0.01,0.005,"[2, 2]","[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
6,7,2.9006665,0.01,0.002,"[64, 2]","[<built-in method sigmoid of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
6,8,2.839,0.001,0.005,"[64, 2]","[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
6,9,2.8675,0.001,0.005,"[64, 2]","[<function leaky_relu at 0x1070f0900>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
6,10,2.9191666,0.001,0.002,"[16, 8, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
6,11,2.9348333,0.02,0.002,"[64, 2]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
7,0,3.3846664,0.005,0.005,"[2, 2]","[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
7,1,3.0943332,0.05,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
7,2,2.9008334,0.02,0.002,"[64, 2]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
7,3,3.144,0.001,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
7,4,3.416,0.01,0.008,"[64, 8, 16]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
7,5,3.1135,0.001,0.002,"[16, 8, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
7,6,3.0356665,0.005,0.002,"[2, 2]","[<function relu at 0x1070f04a0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
7,7,3.0593333,0.01,0.005,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
7,8,3.1346664,0.001,0.002,"[64, 2]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
7,9,2.8926666,0.02,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
7,10,2.9745,0.02,0.002,"[64, 8, 16]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
7,11,2.9348333,0.02,0.002,"[16, 8, 16]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
8,0,2.9438334,0.05,0.008,"[64, 8, 16]","[<function softmax at 0x1070f0cc0>, <built-in method sigmoid of type object at 0x1056829d0>, <built-in method sigmoid of type object at 0x1056829d0>, <function leaky_relu at 0x1070f0900>]"
8,1,3.1501667,0.05,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
8,2,2.9153333,0.001,0.002,"[16, 2]","[<built-in method tanh of type object at 0x1056829d0>, <built-in method tanh of type object at 0x1056829d0>, <function relu at 0x1070f04a0>]"
